사바, 70, 173
마파, 49, 199
사마, 58, 160
가나, 50, 152
카나, 43, 176
나차, 81, 171
자파, 79, 150
하자, 63, 179
자사, 81, 147
마다, 80, 163
카아, 98, 194
다바, 76, 150
파파, 75, 159
파파, 90, 176
마다, 55, 154
다타, 84, 188
라타, 48, 141
사가, 88, 167
카아, 59, 184
라다, 92, 185
아바, 57, 183
하하, 90, 183
타사, 54, 199
아나, 44, 195
자가, 70, 142
사가, 84, 191
나라, 46, 148
차차, 66, 186
다사, 74, 183
바바, 76, 190
가카, 95, 188
카카, 78, 181
자카, 40, 146
타파, 58, 146
다타, 61, 197
차파, 60, 155
차다, 50, 197
바하, 53, 161
다자, 71, 176
카파, 80, 189
자아, 53, 187
나하, 90, 182
다차, 44, 180
아가, 96, 171
차카, 46, 194
라카, 45, 144
다사, 62, 159
마타, 76, 143
라파, 83, 158
라사, 67, 158
카차, 97, 194
바하, 88, 188
하타, 66, 178
사타, 96, 165
하카, 75, 165
바바, 56, 179
라파, 81, 191
사아, 59, 163
카바, 99, 177
라하, 90, 183
카하, 75, 176
사하, 65, 180
아가, 73, 145
사라, 60, 146
카파, 40, 193
하마, 97, 149
카마, 70, 198
카다, 50, 172
마바, 82, 193
마사, 94, 158
차하, 64, 166
바바, 74, 149
자나, 47, 168
카파, 89, 146
자파, 81, 150
파다, 54, 156
하자, 46, 163
카사, 69, 153
사마, 80, 151
마타, 87, 140
차파, 48, 173
파다, 75, 196
카바, 48, 187
가자, 65, 197
카라, 56, 169
라차, 53, 158
사자, 98, 157
파바, 99, 146
바아, 56, 192
파가, 89, 141
카나, 98, 173
차다, 64, 162
하하, 60, 175
사차, 65, 158
사타, 68, 187
하다, 41, 157
바차, 48, 142
하사, 54, 172
가차, 42, 182
차가, 91, 147
가마, 63, 151
마다, 91, 142
사사, 67, 154
가사, 96, 148
하사, 49, 175
파자, 65, 154
하나, 62, 175
마다, 41, 140
자차, 84, 154
가가, 92, 163
하사, 53, 194
바바, 84, 151
자사, 49, 161
마라, 91, 170
타다, 51, 160
마카, 64, 174
사자, 86, 195
타자, 40, 141
바타, 42, 160
타파, 75, 177
타카, 41, 158
다타, 82, 191
바카, 62, 171
차가, 74, 174
자파, 46, 157
가타, 64, 168
마타, 87, 163
타가, 72, 171
가하, 42, 197
사차, 87, 194
타라, 65, 152
다다, 99, 179
다가, 52, 191
다라, 45, 170
차하, 94, 155
하타, 53, 164
나마, 65, 192
나아, 65, 175
카차, 56, 191
아타, 61, 152
나차, 66, 158
바카, 47, 156
다마, 46, 190
카차, 75, 193
하파, 70, 152
아타, 89, 175
카나, 79, 164
바타, 40, 180
차마, 51, 167
카아, 50, 185
나하, 90, 183
라바, 91, 177
사아, 88, 146
라사, 74, 182
하자, 40, 170
가타, 64, 168
카하, 76, 149
마라, 64, 161
나차, 92, 194
나사, 43, 164
차나, 41, 160
바차, 65, 160
나하, 62, 172
나마, 61, 161
아자, 82, 172
카자, 80, 141
하라, 41, 143
하라, 92, 141
타아, 59, 174
자다, 70, 192
가라, 70, 192
가카, 46, 148
자하, 60, 145
자하, 83, 171
자타, 68, 152
바차, 45, 177
마바, 41, 173
타하, 59, 157
라바, 53, 193
라가, 84, 183
사아, 73, 198
하하, 50, 164
파가, 71, 156
나아, 49, 159
카나, 46, 149
하파, 85, 166
가자, 56, 147
나라, 87, 185
사나, 46, 190
가아, 76, 156
다나, 43, 170
라사, 66, 175
가마, 46, 190
카가, 59, 192
사차, 68, 155
나가, 62, 171
사마, 51, 181
파나, 68, 180
바아, 62, 146
나타, 86, 146
파가, 99, 177
다가, 52, 156
다파, 93, 170
하차, 74, 164
사나, 87, 166
가카, 74, 150
다타, 58, 141
라다, 56, 142
라차, 93, 169
다자, 61, 178
카차, 90, 198
다바, 90, 158
파하, 70, 154
자가, 72, 197
나사, 54, 186
마나, 84, 194
파마, 76, 193
다하, 62, 177
하카, 85, 147
마카, 55, 181
라다, 53, 192
라카, 40, 143
차가, 70, 157
자파, 76, 194
아하, 87, 193
아카, 70, 189
사라, 51, 178
바파, 53, 168
나하, 97, 180
사마, 83, 153
자다, 77, 165
타바, 47, 152
아라, 50, 194
차타, 90, 175
하타, 49, 182
파자, 68, 189
아라, 53, 149
타가, 51, 181
마라, 40, 152
하하, 94, 142
아차, 61, 158
사자, 62, 195
바라, 54, 190
가라, 41, 177
타마, 52, 152
라나, 93, 148
자다, 50, 154
마나, 51, 176
카파, 80, 180
다파, 67, 173
다가, 86, 177
라하, 78, 199
다바, 82, 198
아바, 85, 150
다마, 73, 192
자자, 83, 167
자차, 52, 173
자하, 57, 178
자마, 83, 155
타바, 56, 154
자하, 87, 146
라파, 56, 199
파가, 66, 146
라다, 44, 182
가바, 96, 151
차카, 73, 199
라마, 52, 158
라파, 48, 189
카바, 76, 179
타바, 96, 160
바자, 40, 161
하하, 84, 140
아카, 62, 145
타카, 59, 178
사가, 41, 153
차아, 81, 189
다마, 89, 186
가아, 95, 148
가타, 56, 149
아하, 75, 175
사카, 42, 192
파라, 96, 152
바파, 79, 177
다다, 51, 187
사다, 93, 156
나차, 65, 145
나바, 95, 146
마마, 97, 191
파파, 96, 155
마다, 99, 145
카자, 43, 160
마라, 55, 183
카다, 89, 185
하파, 62, 168
바카, 74, 150
라다, 65, 147
마나, 41, 146
타파, 69, 194
타가, 71, 179
타다, 45, 162
차아, 51, 188
아다, 55, 157
라마, 47, 172
파차, 71, 151
카타, 62, 146
마카, 78, 162
차아, 93, 169
파카, 67, 171
카차, 55, 145
사자, 41, 176
사바, 78, 181
파아, 69, 171
파사, 97, 142
바타, 99, 141
타타, 44, 182
라가, 77, 142
나하, 81, 183
다라, 60, 153
라아, 75, 151
마자, 62, 196
타하, 65, 187
파아, 82, 140
카나, 43, 147
가아, 74, 181
차파, 98, 174
자타, 46, 140
자파, 97, 141
차타, 83, 198
하사, 70, 195
바라, 68, 140
차자, 41, 143
마차, 78, 178
사다, 43, 177
라다, 59, 198
사가, 96, 199
나라, 62, 178
바나, 79, 192
다나, 80, 187
파바, 59, 149
라아, 80, 182
마카, 44, 173
차자, 95, 182
카아, 80, 179
파아, 75, 170
가마, 87, 140
나하, 80, 198
마나, 51, 157
사파, 60, 140
가카, 61, 181
라나, 69, 160
타다, 66, 169
사마, 96, 195
나아, 44, 151
자다, 97, 178
파라, 68, 179
바하, 96, 148
차아, 49, 142
나파, 65, 149
나가, 71, 192
사나, 84, 172
바마, 77, 156
타나, 63, 156
가차, 81, 171
사하, 61, 181
자파, 77, 172
바자, 59, 172
카다, 92, 164
나라, 68, 187
카가, 94, 186
아하, 47, 176
다타, 63, 148
하하, 47, 157
파타, 43, 151
파차, 53, 198
다가, 88, 157
자하, 97, 145
차마, 80, 155
타마, 44, 175
자라, 72, 199
파아, 40, 184
하아, 61, 178
아하, 91, 169
차타, 80, 168
파아, 55, 164
자나, 99, 184
카차, 89, 186
라가, 80, 190
파가, 75, 191
하자, 63, 179
바나, 44, 196
라가, 50, 145
파카, 69, 163
자사, 92, 173
나가, 54, 184
바카, 65, 182
타아, 74, 191
다다, 93, 186
아마, 63, 180
라하, 81, 143
자라, 47, 163
다바, 61, 146
아나, 70, 192
다사, 71, 165
아파, 83, 155
사다, 63, 160
나나, 90, 154
카자, 44, 177
타사, 96, 157
파타, 40, 176
타자, 61, 186
마나, 99, 147
마자, 53, 195
차아, 70, 176
나다, 90, 185
카다, 56, 190
하가, 41, 189
자바, 87, 167
타나, 88, 180
나나, 79, 145
나자, 59, 166
카차, 63, 165
차다, 61, 163
하아, 90, 178
파자, 80, 176
하라, 85, 154
자바, 80, 188
사나, 79, 159
바파, 99, 147
바가, 84, 188
카자, 41, 152
